group	groupname	date	value		daily total
1	cooking	1	1	Sunday	24
1	cooking	2	1	Monday	24
1	cooking	3	1	Tuesday	24
1	cooking	4	1	Wednesday	24
1	cooking	5	1	Thursday	24
1	cooking	6	1	Friday	24
1	cooking	7	1	Saturday	24
2	bicycling	1	2		
2	bicycling	2	2		3 = work
2	bicycling	3	2		2 = bicycling
2	bicycling	4	2		1 = cooking/baking
2	bicycling	5	2		4 = reading
2	bicycling	6	2		5 = coding
2	bicycling	7	2		6= sleeping
3	work	1	2		
3	work	2	8		
3	work	3	8		
3	work	4	9		
3	work	5	8		
3	work	6	8		
3	work	7	1		
4	reading	1	3		
4	reading	2	1		
4	reading	3	1		
4	reading	4	1		
4	reading	5	2		
4	reading	6	2		
4	reading	7	3		
5	coding	1	2		
5	coding	2	1		
5	coding	3	2		
5	coding	4	2		
5	coding	5	2		
5	coding	6	2		
5	coding	7	1		
6	sleeping	1	7		
6	sleeping	2	6		
6	sleeping	3	7		
6	sleeping	4	7		
6	sleeping	5	7		
6	sleeping	6	6		
6	sleeping	7	8		
7	mystery	1	7		
7	mystery	2	5		
7	mystery	3	3		
7	mystery	4	2		
7	mystery	5	2		
7	mystery	6	3		
7	mystery	7	8		
